packetIN_packetOUT_ratio,message_Request_ratio,cumulative_Reset_Flags,flow_disparity,priority_frequency_spike_index,time_freaquency_spike_index,multipart_message_ratio,idle_timeout_disparity,compromised_controller_state
81.86031042,0,1,0.987784068,61.42857143,81.25,1.00087108,0,1
41.24153499,0,1,0.9757526,35.71428571,43,1.003508772,0,1
41.24153499,0,1,0.9757526,35.71428571,43,1.003508772,0,1
10.14666667,0,0,0.901445466,30.57142857,34,1.005193257,0,1
2.923175416,0,0,0.657906264,30.57142857,34,1.004839531,0,0
10.14666667,0,0,0.901445466,30.57142857,34,1.005193257,0,1
10.14666667,0,0,0.901445466,30.57142857,34,1.005193257,0,1
2.968588195,0,0,0.663139535,30.57142857,34,1.005435767,0,0
81.86031042,0,1,0.987784068,61.42857143,81.25,1.00087108,0,1
76.25720621,0,1,0.986886485,35.71428571,43,1.00087108,0,1
76.25720621,0,1,0.986886485,1105.428571,1273,0.620879715,1,1
2.923175416,0,0,0.657906264,30.57142857,34,1.004839531,0,0
6.97826087,0,0,0.657906264,32.8,46.5,0.99896244,0,0
6.97826087,0,0,,32.8,46.5,0.99896244,0,0
6.97826087,0,0,,32.8,46.5,0.99896244,0,0
6.97826087,0,0,,32.8,46.5,0.99896244,1,1
23.2826087,0,0,0.957049486,32.8,46.5,0.99896244,0,1
10.55327869,0,0,0.905242718,59,81.33333333,0.999371069,0,1
6.743852459,0,0,,59,81.33333333,0.999371069,0,0
10.55327869,0,0,0.905242718,59,81.33333333,0.999371069,0,1
6.743852459,0,0,,59,81.33333333,0.999371069,0,0
76.25720621,0,1,0.986886485,1105.428571,1273,0.620879715,1,1
2.968588195,0,0,0.663139535,30.57142857,34,1.005435767,0,0
41.24153499,0,1,0.9757526,35.71428571,43,1.003508772,0,1
6.743852459,1,1,,59,81.33333333,0.998765813,0,1
27.52285714,1,1,0.963666563,131.2,186,0.998765813,0,1
27.98651452,1,1,0.964268505,95.8,130.75,0.996148768,0,1
6.743852459,0,0,,59,81.33333333,0.999371069,0,0
45.15,0,1,0.977851606,23,29.5,0.958743842,0,1
45.15,0,1,0.977851606,46,59,0.862493586,0,1
42.87321429,0,1,0.976675413,46,59,0.862493586,0,1
42.49285714,0,0,0.976466633,46,59,0.862493586,0,1
42.47321429,0,0,0.976455749,46,59,0.770940171,0,1
40.37307692,0,0,0.975231018,19.83333333,25.75,0.782608696,0,1
16.15,0,0,,19.83333333,25.75,0.782608696,0,1
16.15,0,0,,19.83333333,25.75,0.998756771,0,0
16.15,0,0,,19.83333333,25.75,1,0,0
1.450704225,0,0,,132,182,0.925581395,0,1
15.77419355,0,0,,16.83333333,23.25,0.972560976,0,0
9.957692308,0,0,,19.83333333,25.75,1,0,0
14.92090395,0,0,0.932979932,28.66666667,37,0.906976744,0,1
16.15,0,0,,19.83333333,25.75,1,0,0
17.22522523,1,0,,7.2,10.25,1.011560694,0,1
16.15,0,0,0.938080495,39.66666667,51.5,1,0,1
16.15,0,0,0.938080495,39.66666667,51.5,1,0,1
6.784615385,0,0,,39.66666667,51.5,1,0,0
12.4664311,0,0,,25.16666667,33.25,0.957399103,0,0
16.32386364,1,0,,12.33333333,18.5,1.007220217,0,1
25.7607362,0,0,,11.4,17,0.758169935,0,1
